graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path7-order175,175,174,1,2,263,-1,306,0.0114286,0.101755,1
path7-order175,175,174,1,2,260,-1,306,0.0114286,0.141187,1
path7-order175,175,174,1,2,258,-1,306,0.0114286,0.19785,1
path7-order175,175,174,1,2,260,-1,306,0.0114286,0.0797547,1
path7-order175,175,174,1,2,255,-1,306,0.0114286,0.122226,1
path7-order175,175,174,1,2,261,-1,306,0.0114286,0.0970412,1
path7-order175,175,174,1,2,265,-1,306,0.0114286,0.0795522,1
path7-order175,175,174,1,2,260,-1,306,0.0114286,0.10476,1
path7-order175,175,174,1,2,265,-1,306,0.0114286,0.0491805,1
path7-order175,175,174,1,2,259,-1,306,0.0114286,0.117279,1
path7-order175,175,174,1,2,263,-1,306,0.0114286,0.0640853,1
path7-order175,175,174,1,2,258,-1,306,0.0114286,0.0866064,1
path7-order175,175,174,1,2,261,-1,306,0.0114286,0.0768553,1
path7-order175,175,174,1,2,261,-1,306,0.0114286,0.116598,1
path7-order175,175,174,1,2,264,-1,306,0.0114286,0.0678115,1
