graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0428755,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0393866,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.044903,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0394991,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0404534,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0403746,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0397296,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0387433,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0383293,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0438182,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0393321,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0412896,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0397531,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0419183,1
tree7_order175,175,174,1,6,256,100,306,0.0114286,0.0406991,1
