graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cdde3,961,1860,2,4,1077,768,1441,0.00403226,1.98745,1
cdde3,961,1860,2,4,1050,768,1441,0.00403226,2.00013,1
cdde3,961,1860,2,4,1058,768,1441,0.00403226,2.11134,1
cdde3,961,1860,2,4,1063,768,1441,0.00403226,2.37365,1
cdde3,961,1860,2,4,1055,768,1441,0.00403226,1.73037,1
cdde3,961,1860,2,4,1065,768,1441,0.00403226,1.97019,1
cdde3,961,1860,2,4,1067,768,1441,0.00403226,1.86954,1
cdde3,961,1860,2,4,1081,768,1441,0.00403226,2.19888,1
cdde3,961,1860,2,4,1084,768,1441,0.00403226,2.13996,1
cdde3,961,1860,2,4,1075,768,1441,0.00403226,2.10348,1
cdde3,961,1860,2,4,1093,768,1441,0.00403226,2.09264,1
cdde3,961,1860,2,4,1073,768,1441,0.00403226,2.26117,1
cdde3,961,1860,2,4,1060,768,1441,0.00403226,1.80405,1
cdde3,961,1860,2,4,1068,768,1441,0.00403226,1.62013,1
cdde3,961,1860,2,4,1067,768,1441,0.00403226,2.00219,1
