graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dw2048,2048,4094,2,8,2180,910,3072,0.00195312,15.6719,1
dw2048,2048,4094,2,8,2214,910,3072,0.00195312,12.684,1
dw2048,2048,4094,2,8,2198,910,3072,0.00195312,15.5365,1
dw2048,2048,4094,2,8,2208,910,3072,0.00195312,13.2674,1
dw2048,2048,4094,2,8,2209,910,3072,0.00195312,11.5536,1
dw2048,2048,4094,2,8,2188,910,3072,0.00195312,12.8029,1
dw2048,2048,4094,2,8,2206,910,3072,0.00195312,13.0739,1
dw2048,2048,4094,2,8,2195,910,3072,0.00195312,13.3572,1
dw2048,2048,4094,2,8,2203,910,3072,0.00195312,12.2733,1
dw2048,2048,4094,2,8,2221,910,3072,0.00195312,12.871,1
dw2048,2048,4094,2,8,2190,910,3072,0.00195312,12.9742,1
dw2048,2048,4094,2,8,2213,910,3072,0.00195312,11.6864,1
dw2048,2048,4094,2,8,2215,910,3072,0.00195312,13.4691,1
dw2048,2048,4094,2,8,2220,910,3072,0.00195312,12.7085,1
dw2048,2048,4094,2,8,2191,910,3072,0.00195312,12.8842,1
