graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
mhdb416,416,948,0,9,371,166,632,0.0109824,0.366632,1
mhdb416,416,948,0,9,371,166,632,0.0109824,0.434367,1
mhdb416,416,948,0,9,376,166,632,0.0109824,0.4442,1
mhdb416,416,948,0,9,367,166,632,0.0109824,0.408043,1
mhdb416,416,948,0,9,372,166,632,0.0109824,0.367937,1
mhdb416,416,948,0,9,371,166,632,0.0109824,0.386715,1
mhdb416,416,948,0,9,369,166,632,0.0109824,0.363624,1
mhdb416,416,948,0,9,368,166,632,0.0109824,0.411253,1
mhdb416,416,948,0,9,368,166,632,0.0109824,0.444304,1
mhdb416,416,948,0,9,367,166,632,0.0109824,0.445813,1
mhdb416,416,948,0,9,372,166,632,0.0109824,0.439779,1
mhdb416,416,948,0,9,368,166,632,0.0109824,0.37938,1
mhdb416,416,948,0,9,368,166,632,0.0109824,0.411715,1
mhdb416,416,948,0,9,366,166,632,0.0109824,0.404304,1
mhdb416,416,948,0,9,371,166,632,0.0109824,0.359745,1
