graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rdb968,968,2332,3,5,946,645,1452,0.00498261,1.37964,1
rdb968,968,2332,3,5,937,645,1452,0.00498261,1.5418,1
rdb968,968,2332,3,5,956,645,1452,0.00498261,1.48637,1
rdb968,968,2332,3,5,942,645,1452,0.00498261,1.30229,1
rdb968,968,2332,3,5,939,645,1452,0.00498261,1.28456,1
rdb968,968,2332,3,5,939,645,1452,0.00498261,1.31551,1
rdb968,968,2332,3,5,940,645,1452,0.00498261,1.32534,1
rdb968,968,2332,3,5,958,645,1452,0.00498261,1.47798,1
rdb968,968,2332,3,5,938,645,1452,0.00498261,1.52157,1
rdb968,968,2332,3,5,951,645,1452,0.00498261,1.58193,1
rdb968,968,2332,3,5,942,645,1452,0.00498261,1.49901,1
rdb968,968,2332,3,5,926,645,1452,0.00498261,1.33668,1
rdb968,968,2332,3,5,941,645,1452,0.00498261,1.52935,1
rdb968,968,2332,3,5,944,645,1452,0.00498261,1.37479,1
rdb968,968,2332,3,5,955,645,1452,0.00498261,1.59026,1
