graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rw136,136,373,2,7,115,68,204,0.0406318,0.0626397,1
rw136,136,373,2,7,122,68,204,0.0406318,0.0568117,1
rw136,136,373,2,7,113,68,204,0.0406318,0.0505045,1
rw136,136,373,2,7,120,68,204,0.0406318,0.0600779,1
rw136,136,373,2,7,122,68,204,0.0406318,0.0489103,1
rw136,136,373,2,7,116,68,204,0.0406318,0.0553104,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0414372,1
rw136,136,373,2,7,121,68,204,0.0406318,0.0640583,1
rw136,136,373,2,7,110,68,204,0.0406318,0.0466233,1
rw136,136,373,2,7,111,68,204,0.0406318,0.068257,1
rw136,136,373,2,7,120,68,204,0.0406318,0.0456986,1
rw136,136,373,2,7,120,68,204,0.0406318,0.0615873,1
rw136,136,373,2,7,120,68,204,0.0406318,0.0940865,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0541456,1
rw136,136,373,2,7,121,68,204,0.0406318,0.0650251,1
