graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cycle7-order175,175,175,2,2,242,-1,262,0.0114943,0.0609789,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.0704427,1
cycle7-order175,175,175,2,2,245,-1,262,0.0114943,0.0612102,1
cycle7-order175,175,175,2,2,246,-1,262,0.0114943,0.0663832,1
cycle7-order175,175,175,2,2,249,-1,262,0.0114943,0.0589111,1
cycle7-order175,175,175,2,2,244,-1,262,0.0114943,0.0690947,1
cycle7-order175,175,175,2,2,247,-1,262,0.0114943,0.0529283,1
cycle7-order175,175,175,2,2,244,-1,262,0.0114943,0.0602167,1
cycle7-order175,175,175,2,2,238,-1,262,0.0114943,0.0543672,1
cycle7-order175,175,175,2,2,242,-1,262,0.0114943,0.056669,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.0666776,1
cycle7-order175,175,175,2,2,243,-1,262,0.0114943,0.0728107,1
cycle7-order175,175,175,2,2,241,-1,262,0.0114943,0.0629467,1
cycle7-order175,175,175,2,2,239,-1,262,0.0114943,0.078168,1
cycle7-order175,175,175,2,2,240,-1,262,0.0114943,0.0632559,1
