graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcspwr04,274,669,1,15,281,68,479,0.0178872,0.204957,1
bcspwr04,274,669,1,15,273,68,479,0.0178872,0.280987,1
bcspwr04,274,669,1,15,281,68,479,0.0178872,0.233253,1
bcspwr04,274,669,1,15,285,68,479,0.0178872,0.206368,1
bcspwr04,274,669,1,15,281,68,479,0.0178872,0.233309,1
bcspwr04,274,669,1,15,282,68,479,0.0178872,0.211677,1
bcspwr04,274,669,1,15,287,68,479,0.0178872,0.298375,1
bcspwr04,274,669,1,15,292,68,479,0.0178872,0.240736,1
bcspwr04,274,669,1,15,290,68,479,0.0178872,0.217911,1
bcspwr04,274,669,1,15,286,68,479,0.0178872,0.222993,1
bcspwr04,274,669,1,15,283,68,479,0.0178872,0.26627,1
bcspwr04,274,669,1,15,296,68,479,0.0178872,0.227156,1
bcspwr04,274,669,1,15,281,68,479,0.0178872,0.229012,1
bcspwr04,274,669,1,15,282,68,479,0.0178872,0.354337,1
bcspwr04,274,669,1,15,274,68,479,0.0178872,0.273627,1
