graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcsstk02,66,2145,65,65,4,4,99,1,0.116896,1
bcsstk02,66,2145,65,65,4,4,99,1,0.139943,1
bcsstk02,66,2145,65,65,4,4,99,1,0.138582,1
bcsstk02,66,2145,65,65,4,4,99,1,0.130487,1
bcsstk02,66,2145,65,65,4,4,99,1,0.12636,1
bcsstk02,66,2145,65,65,4,4,99,1,0.126849,1
bcsstk02,66,2145,65,65,4,4,99,1,0.122735,1
bcsstk02,66,2145,65,65,4,4,99,1,0.11728,1
bcsstk02,66,2145,65,65,4,4,99,1,0.111171,1
bcsstk02,66,2145,65,65,4,4,99,1,0.108106,1
bcsstk02,66,2145,65,65,4,4,99,1,0.107153,1
bcsstk02,66,2145,65,65,4,4,99,1,0.109994,1
bcsstk02,66,2145,65,65,4,4,99,1,0.121076,1
bcsstk02,66,2145,65,65,4,4,99,1,0.137176,1
bcsstk02,66,2145,65,65,4,4,99,1,0.122269,1
