graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cdde2,961,1860,2,4,1064,768,1441,0.00403226,1.84148,1
cdde2,961,1860,2,4,1056,768,1441,0.00403226,1.60699,1
cdde2,961,1860,2,4,1072,768,1441,0.00403226,1.58059,1
cdde2,961,1860,2,4,1070,768,1441,0.00403226,1.42969,1
cdde2,961,1860,2,4,1080,768,1441,0.00403226,1.51047,1
cdde2,961,1860,2,4,1064,768,1441,0.00403226,1.69097,1
cdde2,961,1860,2,4,1059,768,1441,0.00403226,1.90251,1
cdde2,961,1860,2,4,1060,768,1441,0.00403226,1.82192,1
cdde2,961,1860,2,4,1057,768,1441,0.00403226,1.84726,1
cdde2,961,1860,2,4,1062,768,1441,0.00403226,1.85709,1
cdde2,961,1860,2,4,1076,768,1441,0.00403226,1.58902,1
cdde2,961,1860,2,4,1045,768,1441,0.00403226,1.41838,1
cdde2,961,1860,2,4,1071,768,1441,0.00403226,1.91759,1
cdde2,961,1860,2,4,1060,768,1441,0.00403226,1.57106,1
cdde2,961,1860,2,4,1047,768,1441,0.00403226,1.71669,1
