graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__198,198,597,1,11,132,66,299,0.0306107,0.0680948,1
dwt__198,198,597,1,11,116,66,299,0.0306107,0.0802625,1
dwt__198,198,597,1,11,119,66,299,0.0306107,0.0655917,1
dwt__198,198,597,1,11,130,66,299,0.0306107,0.0660123,1
dwt__198,198,597,1,11,116,66,299,0.0306107,0.0657211,1
dwt__198,198,597,1,11,118,66,299,0.0306107,0.0671079,1
dwt__198,198,597,1,11,132,66,299,0.0306107,0.0681118,1
dwt__198,198,597,1,11,122,66,299,0.0306107,0.0679265,1
dwt__198,198,597,1,11,126,66,299,0.0306107,0.0659734,1
dwt__198,198,597,1,11,124,66,299,0.0306107,0.0656505,1
dwt__198,198,597,1,11,128,66,299,0.0306107,0.0658059,1
dwt__198,198,597,1,11,120,66,299,0.0306107,0.0658097,1
dwt__198,198,597,1,11,124,66,299,0.0306107,0.0659131,1
dwt__198,198,597,1,11,116,66,299,0.0306107,0.067401,1
dwt__198,198,597,1,11,116,66,299,0.0306107,0.0676411,1
