graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt___72,72,75,1,4,100,57,126,0.0293427,0.0114497,1
dwt___72,72,75,1,4,103,57,126,0.0293427,0.0107392,1
dwt___72,72,75,1,4,103,57,126,0.0293427,0.0119521,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.0111075,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.0102495,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.00983218,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.0121573,1
dwt___72,72,75,1,4,97,57,126,0.0293427,0.00932305,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.00902416,1
dwt___72,72,75,1,4,101,57,126,0.0293427,0.010996,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.00934947,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.0121971,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.00895132,1
dwt___72,72,75,1,4,97,57,126,0.0293427,0.0121318,1
dwt___72,72,75,1,4,98,57,126,0.0293427,0.00935869,1
