graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_760_2,760,3518,3,23,488,126,1140,0.0121975,1.67586,1
fs_760_2,760,3518,3,23,501,126,1140,0.0121975,1.5469,1
fs_760_2,760,3518,3,23,509,126,1140,0.0121975,1.48813,1
fs_760_2,760,3518,3,23,503,126,1140,0.0121975,1.17313,1
fs_760_2,760,3518,3,23,502,126,1140,0.0121975,1.24202,1
fs_760_2,760,3518,3,23,506,126,1140,0.0121975,1.48707,1
fs_760_2,760,3518,3,23,507,126,1140,0.0121975,1.30947,1
fs_760_2,760,3518,3,23,507,126,1140,0.0121975,1.55423,1
fs_760_2,760,3518,3,23,501,126,1140,0.0121975,1.35312,1
fs_760_2,760,3518,3,23,507,126,1140,0.0121975,1.32189,1
fs_760_2,760,3518,3,23,506,126,1140,0.0121975,1.38229,1
fs_760_2,760,3518,3,23,506,126,1140,0.0121975,1.25563,1
fs_760_2,760,3518,3,23,510,126,1140,0.0121975,1.43723,1
fs_760_2,760,3518,3,23,499,126,1140,0.0121975,1.19043,1
fs_760_2,760,3518,3,23,504,126,1140,0.0121975,1.52255,1
