graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
impcol_b,59,281,2,17,41,13,88,0.164231,0.0135071,1
impcol_b,59,281,2,17,39,13,88,0.164231,0.0118918,1
impcol_b,59,281,2,17,45,13,88,0.164231,0.012309,1
impcol_b,59,281,2,17,39,13,88,0.164231,0.0129759,1
impcol_b,59,281,2,17,42,13,88,0.164231,0.0128049,1
impcol_b,59,281,2,17,39,13,88,0.164231,0.0121658,1
impcol_b,59,281,2,17,42,13,88,0.164231,0.0151256,1
impcol_b,59,281,2,17,51,13,88,0.164231,0.0141951,1
impcol_b,59,281,2,17,43,13,88,0.164231,0.0112382,1
impcol_b,59,281,2,17,42,13,88,0.164231,0.0123558,1
impcol_b,59,281,2,17,38,13,88,0.164231,0.0134992,1
impcol_b,59,281,2,17,41,13,88,0.164231,0.0165988,1
impcol_b,59,281,2,17,39,13,88,0.164231,0.0119478,1
impcol_b,59,281,2,17,39,13,88,0.164231,0.0143189,1
impcol_b,59,281,2,17,47,13,88,0.164231,0.0168891,1
