graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lns__511,511,1425,0,12,586,157,904,0.0109359,0.628237,1
lns__511,511,1425,0,12,571,157,904,0.0109359,0.583595,1
lns__511,511,1425,0,12,571,157,904,0.0109359,0.668946,1
lns__511,511,1425,0,12,570,157,904,0.0109359,0.66039,1
lns__511,511,1425,0,12,573,157,904,0.0109359,0.620156,1
lns__511,511,1425,0,12,565,157,904,0.0109359,0.614146,1
lns__511,511,1425,0,12,577,157,904,0.0109359,0.611752,1
lns__511,511,1425,0,12,573,157,904,0.0109359,0.60894,1
lns__511,511,1425,0,12,594,157,904,0.0109359,0.638342,1
lns__511,511,1425,0,12,572,157,904,0.0109359,0.664486,1
lns__511,511,1425,0,12,567,157,904,0.0109359,0.599051,1
lns__511,511,1425,0,12,597,157,904,0.0109359,0.656962,1
lns__511,511,1425,0,12,580,157,904,0.0109359,0.59736,1
lns__511,511,1425,0,12,569,157,904,0.0109359,0.637894,1
lns__511,511,1425,0,12,567,157,904,0.0109359,0.632497,1
