graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.91904,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93154,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93115,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.92743,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.92639,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93441,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.92965,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93939,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93229,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93144,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93735,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93085,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.9326,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.92758,1
mcfe,765,15358,16,109,180,27,1146,0.0525545,1.93376,1
