graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
nos5,468,2352,6,22,284,81,702,0.0215231,0.449591,1
nos5,468,2352,6,22,287,81,702,0.0215231,0.39331,1
nos5,468,2352,6,22,284,81,702,0.0215231,0.420069,1
nos5,468,2352,6,22,277,81,702,0.0215231,0.441718,1
nos5,468,2352,6,22,274,81,702,0.0215231,0.489202,1
nos5,468,2352,6,22,284,81,702,0.0215231,0.467816,1
nos5,468,2352,6,22,280,81,702,0.0215231,0.462763,1
nos5,468,2352,6,22,280,81,702,0.0215231,0.466555,1
nos5,468,2352,6,22,286,81,702,0.0215231,0.511306,1
nos5,468,2352,6,22,292,81,702,0.0215231,0.406587,1
nos5,468,2352,6,22,287,81,702,0.0215231,0.451708,1
nos5,468,2352,6,22,289,81,702,0.0215231,0.557122,1
nos5,468,2352,6,22,290,81,702,0.0215231,0.415208,1
nos5,468,2352,6,22,290,81,702,0.0215231,0.434202,1
nos5,468,2352,6,22,288,81,702,0.0215231,0.462231,1
