graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
plat362,362,2712,3,18,146,76,543,0.0415053,0.279853,1
plat362,362,2712,3,18,149,76,543,0.0415053,0.284023,1
plat362,362,2712,3,18,146,76,543,0.0415053,0.289776,1
plat362,362,2712,3,18,159,76,543,0.0415053,0.297422,1
plat362,362,2712,3,18,148,76,543,0.0415053,0.316015,1
plat362,362,2712,3,18,149,76,543,0.0415053,0.276218,1
plat362,362,2712,3,18,150,76,543,0.0415053,0.268723,1
plat362,362,2712,3,18,154,76,543,0.0415053,0.274732,1
plat362,362,2712,3,18,150,76,543,0.0415053,0.284075,1
plat362,362,2712,3,18,145,76,543,0.0415053,0.316218,1
plat362,362,2712,3,18,145,76,543,0.0415053,0.276767,1
plat362,362,2712,3,18,153,76,543,0.0415053,0.28237,1
plat362,362,2712,3,18,147,76,543,0.0415053,0.268112,1
plat362,362,2712,3,18,156,76,543,0.0415053,0.278976,1
plat362,362,2712,3,18,152,76,543,0.0415053,0.287191,1
