graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
saylr1,238,445,2,4,268,190,357,0.0157785,0.128025,1
saylr1,238,445,2,4,276,190,357,0.0157785,0.11624,1
saylr1,238,445,2,4,269,190,357,0.0157785,0.127137,1
saylr1,238,445,2,4,270,190,357,0.0157785,0.126066,1
saylr1,238,445,2,4,270,190,357,0.0157785,0.112466,1
saylr1,238,445,2,4,269,190,357,0.0157785,0.119591,1
saylr1,238,445,2,4,267,190,357,0.0157785,0.128256,1
saylr1,238,445,2,4,273,190,357,0.0157785,0.126356,1
saylr1,238,445,2,4,268,190,357,0.0157785,0.120612,1
saylr1,238,445,2,4,267,190,357,0.0157785,0.109873,1
saylr1,238,445,2,4,270,190,357,0.0157785,0.123394,1
saylr1,238,445,2,4,272,190,357,0.0157785,0.114956,1
saylr1,238,445,2,4,267,190,357,0.0157785,0.112409,1
saylr1,238,445,2,4,269,190,357,0.0157785,0.125894,1
saylr1,238,445,2,4,269,190,357,0.0157785,0.125497,1
