graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
shl____0,663,1682,2,421,460,6,994,0.00766451,1.24654,1
shl____0,663,1682,2,421,458,6,994,0.00766451,1.2635,1
shl____0,663,1682,2,421,460,6,994,0.00766451,1.2516,1
shl____0,663,1682,2,421,465,6,994,0.00766451,1.29946,1
shl____0,663,1682,2,421,463,6,994,0.00766451,1.36945,1
shl____0,663,1682,2,421,463,6,994,0.00766451,1.40714,1
shl____0,663,1682,2,421,460,6,994,0.00766451,1.57778,1
shl____0,663,1682,2,421,459,6,994,0.00766451,1.44221,1
shl____0,663,1682,2,421,461,6,994,0.00766451,1.3231,1
shl____0,663,1682,2,421,460,6,994,0.00766451,1.2107,1
shl____0,663,1682,2,421,461,6,994,0.00766451,1.49087,1
shl____0,663,1682,2,421,458,6,994,0.00766451,1.211,1
shl____0,663,1682,2,421,460,6,994,0.00766451,1.41123,1
shl____0,663,1682,2,421,460,6,994,0.00766451,1.29118,1
shl____0,663,1682,2,421,462,6,994,0.00766451,1.256,1
