graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.197946,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.194945,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.19512,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.197205,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.195996,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.19323,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.197188,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.197499,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.19419,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.195884,1
Chebyshev1,261,1542,6,260,219,4,391,0.0454465,0.20052,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.196855,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.196413,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.192602,1
Chebyshev1,261,1542,6,260,4,4,391,0.0454465,0.197148,1
