graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD01_c,33,135,1,19,31,6,57,0.255682,0.00506068,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00511653,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00501322,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00497041,1
GD01_c,33,135,1,19,31,6,57,0.255682,0.00500769,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00493618,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00498006,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00506783,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00497049,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00497898,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00496215,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00496338,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00493762,1
GD01_c,33,135,1,19,32,6,57,0.255682,0.00515903,1
GD01_c,33,135,1,19,28,6,57,0.255682,0.00496173,1
