graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD96_a,1096,1677,1,111,1355,39,1918,0.00279472,3.33466,1
GD96_a,1096,1677,1,111,1354,39,1918,0.00279472,3.49679,1
GD96_a,1096,1677,1,111,1360,39,1918,0.00279472,3.53591,1
GD96_a,1096,1677,1,111,1370,39,1918,0.00279472,3.49111,1
GD96_a,1096,1677,1,111,1367,39,1918,0.00279472,3.08774,1
GD96_a,1096,1677,1,111,1363,39,1918,0.00279472,3.41891,1
GD96_a,1096,1677,1,111,1372,39,1918,0.00279472,3.38671,1
GD96_a,1096,1677,1,111,1363,39,1918,0.00279472,3.34607,1
GD96_a,1096,1677,1,111,1365,39,1918,0.00279472,3.07502,1
GD96_a,1096,1677,1,111,1368,39,1918,0.00279472,3.28137,1
GD96_a,1096,1677,1,111,1362,39,1918,0.00279472,3.38848,1
GD96_a,1096,1677,1,111,1364,39,1918,0.00279472,3.59234,1
GD96_a,1096,1677,1,111,1358,39,1918,0.00279472,3.36189,1
GD96_a,1096,1677,1,111,1361,39,1918,0.00279472,3.51294,1
GD96_a,1096,1677,1,111,1380,39,1918,0.00279472,3.23489,1
