graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD98_b,121,132,1,11,201,40,211,0.0181818,0.0549365,1
GD98_b,121,132,1,11,203,40,211,0.0181818,0.0481138,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.051604,1
GD98_b,121,132,1,11,207,40,211,0.0181818,0.0471954,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.0532545,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.0478572,1
GD98_b,121,132,1,11,201,40,211,0.0181818,0.054636,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.054129,1
GD98_b,121,132,1,11,202,40,211,0.0181818,0.0526124,1
GD98_b,121,132,1,11,206,40,211,0.0181818,0.0523921,1
GD98_b,121,132,1,11,202,40,211,0.0181818,0.0534735,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.0510122,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.0546513,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.054336,1
GD98_b,121,132,1,11,205,40,211,0.0181818,0.05468,1
