graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00313171,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00242511,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00227427,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00236019,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00232815,1
Ragusa18,23,51,1,12,28,7,40,0.201581,0.0024757,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00232238,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00227172,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00225512,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.002694,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00241823,1
Ragusa18,23,51,1,12,29,7,40,0.201581,0.00312151,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00226477,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00228181,1
Ragusa18,23,51,1,12,20,7,40,0.201581,0.00286649,1
