graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path5-order125,125,124,1,2,170,-1,218,0.016,0.0292335,1
path5-order125,125,124,1,2,173,-1,218,0.016,0.0344139,1
path5-order125,125,124,1,2,170,-1,218,0.016,0.0274445,1
path5-order125,125,124,1,2,173,-1,218,0.016,0.0309418,1
path5-order125,125,124,1,2,170,-1,218,0.016,0.0261494,1
path5-order125,125,124,1,2,174,-1,218,0.016,0.0305062,1
path5-order125,125,124,1,2,173,-1,218,0.016,0.026871,1
path5-order125,125,124,1,2,171,-1,218,0.016,0.0281569,1
path5-order125,125,124,1,2,174,-1,218,0.016,0.0339267,1
path5-order125,125,124,1,2,171,-1,218,0.016,0.0367162,1
path5-order125,125,124,1,2,170,-1,218,0.016,0.0289225,1
path5-order125,125,124,1,2,168,-1,218,0.016,0.0306799,1
path5-order125,125,124,1,2,173,-1,218,0.016,0.0253753,1
path5-order125,125,124,1,2,172,-1,218,0.016,0.0313098,1
path5-order125,125,124,1,2,171,-1,218,0.016,0.0256879,1
