graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_1_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tree10_order250,250,249,1,6,375,142,437,0.008,0.144163,1
tree10_order250,250,249,1,6,374,142,437,0.008,0.1536,1
tree10_order250,250,249,1,6,376,142,437,0.008,0.138746,1
tree10_order250,250,249,1,6,379,142,437,0.008,0.136972,1
tree10_order250,250,249,1,6,372,142,437,0.008,0.176445,1
tree10_order250,250,249,1,6,372,142,437,0.008,0.132075,1
tree10_order250,250,249,1,6,373,142,437,0.008,0.161443,1
tree10_order250,250,249,1,6,374,142,437,0.008,0.130151,1
tree10_order250,250,249,1,6,380,142,437,0.008,0.137265,1
tree10_order250,250,249,1,6,371,142,437,0.008,0.157952,1
tree10_order250,250,249,1,6,375,142,437,0.008,0.190904,1
tree10_order250,250,249,1,6,375,142,437,0.008,0.17485,1
tree10_order250,250,249,1,6,380,142,437,0.008,0.155083,1
tree10_order250,250,249,1,6,375,142,437,0.008,0.137459,1
tree10_order250,250,249,1,6,373,142,437,0.008,0.144674,1
