graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
pde225,225,420,2,4,260,180,337,0.0166667,0.00646532,1
pde225,225,420,2,4,254,180,337,0.0166667,0.00708232,1
pde225,225,420,2,4,258,180,337,0.0166667,0.00657273,1
pde225,225,420,2,4,261,180,337,0.0166667,0.00683027,1
pde225,225,420,2,4,264,180,337,0.0166667,0.00680152,1
pde225,225,420,2,4,264,180,337,0.0166667,0.00636279,1
pde225,225,420,2,4,256,180,337,0.0166667,0.00661212,1
pde225,225,420,2,4,257,180,337,0.0166667,0.00665727,1
pde225,225,420,2,4,258,180,337,0.0166667,0.00636981,1
pde225,225,420,2,4,262,180,337,0.0166667,0.00698173,1
pde225,225,420,2,4,253,180,337,0.0166667,0.00635785,1
pde225,225,420,2,4,259,180,337,0.0166667,0.00632307,1
pde225,225,420,2,4,262,180,337,0.0166667,0.00685248,1
pde225,225,420,2,4,258,180,337,0.0166667,0.00640861,1
pde225,225,420,2,4,256,180,337,0.0166667,0.00678469,1
