graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
qc2534,2534,230413,181,182,56,55,3801,0.0717952,11.2998,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,10.2072,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,9.46178,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,9.72246,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,9.89118,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,9.74283,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,9.90738,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,11.6558,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,10.4869,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,10.4363,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,10.0266,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,10.5046,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,10.3776,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,10.1644,1
qc2534,2534,230413,181,182,56,55,3801,0.0717952,9.62581,1
