graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rdb1250,1250,3025,3,5,1253,833,1875,0.0038751,0.157095,1
rdb1250,1250,3025,3,5,1242,833,1875,0.0038751,0.155053,1
rdb1250,1250,3025,3,5,1244,833,1875,0.0038751,0.153177,1
rdb1250,1250,3025,3,5,1237,833,1875,0.0038751,0.151936,1
rdb1250,1250,3025,3,5,1236,833,1875,0.0038751,0.15681,1
rdb1250,1250,3025,3,5,1261,833,1875,0.0038751,0.158906,1
rdb1250,1250,3025,3,5,1246,833,1875,0.0038751,0.160354,1
rdb1250,1250,3025,3,5,1244,833,1875,0.0038751,0.152509,1
rdb1250,1250,3025,3,5,1242,833,1875,0.0038751,0.153075,1
rdb1250,1250,3025,3,5,1255,833,1875,0.0038751,0.152779,1
rdb1250,1250,3025,3,5,1232,833,1875,0.0038751,0.152912,1
rdb1250,1250,3025,3,5,1256,833,1875,0.0038751,0.151286,1
rdb1250,1250,3025,3,5,1254,833,1875,0.0038751,0.151743,1
rdb1250,1250,3025,3,5,1246,833,1875,0.0038751,0.152697,1
rdb1250,1250,3025,3,5,1253,833,1875,0.0038751,0.151744,1
