graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcspwr02,49,59,1,6,69,28,85,0.0501701,0.000554202,1
bcspwr02,49,59,1,6,68,28,85,0.0501701,0.000499637,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000485754,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000480177,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000485399,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000491938,1
bcspwr02,49,59,1,6,65,28,85,0.0501701,0.000569691,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000696569,1
bcspwr02,49,59,1,6,67,28,85,0.0501701,0.000489592,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000512868,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000490973,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000485839,1
bcspwr02,49,59,1,6,67,28,85,0.0501701,0.000471156,1
bcspwr02,49,59,1,6,69,28,85,0.0501701,0.00049992,1
bcspwr02,49,59,1,6,66,28,85,0.0501701,0.000489925,1
