graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cdde6,961,1860,2,4,1042,768,1441,0.00403226,0.0864279,1
cdde6,961,1860,2,4,1048,768,1441,0.00403226,0.085291,1
cdde6,961,1860,2,4,1052,768,1441,0.00403226,0.0851426,1
cdde6,961,1860,2,4,1072,768,1441,0.00403226,0.0848505,1
cdde6,961,1860,2,4,1071,768,1441,0.00403226,0.0851986,1
cdde6,961,1860,2,4,1073,768,1441,0.00403226,0.0847821,1
cdde6,961,1860,2,4,1065,768,1441,0.00403226,0.0856191,1
cdde6,961,1860,2,4,1072,768,1441,0.00403226,0.0852481,1
cdde6,961,1860,2,4,1058,768,1441,0.00403226,0.0847713,1
cdde6,961,1860,2,4,1058,768,1441,0.00403226,0.085059,1
cdde6,961,1860,2,4,1061,768,1441,0.00403226,0.086324,1
cdde6,961,1860,2,4,1079,768,1441,0.00403226,0.0848834,1
cdde6,961,1860,2,4,1071,768,1441,0.00403226,0.0879491,1
cdde6,961,1860,2,4,1061,768,1441,0.00403226,0.0852442,1
cdde6,961,1860,2,4,1072,768,1441,0.00403226,0.085242,1
