graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt__310,310,1069,3,10,195,112,465,0.0223197,0.0133587,1
dwt__310,310,1069,3,10,203,112,465,0.0223197,0.0133279,1
dwt__310,310,1069,3,10,198,112,465,0.0223197,0.0129228,1
dwt__310,310,1069,3,10,193,112,465,0.0223197,0.0121105,1
dwt__310,310,1069,3,10,189,112,465,0.0223197,0.012435,1
dwt__310,310,1069,3,10,192,112,465,0.0223197,0.0126446,1
dwt__310,310,1069,3,10,183,112,465,0.0223197,0.0126769,1
dwt__310,310,1069,3,10,197,112,465,0.0223197,0.0122221,1
dwt__310,310,1069,3,10,194,112,465,0.0223197,0.012744,1
dwt__310,310,1069,3,10,205,112,465,0.0223197,0.0127296,1
dwt__310,310,1069,3,10,191,112,465,0.0223197,0.012619,1
dwt__310,310,1069,3,10,197,112,465,0.0223197,0.0128302,1
dwt__310,310,1069,3,10,188,112,465,0.0223197,0.0124595,1
dwt__310,310,1069,3,10,202,112,465,0.0223197,0.0140907,1
dwt__310,310,1069,3,10,193,112,465,0.0223197,0.0130242,1
