graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
e05r0200,236,2847,8,61,44,15,354,0.102669,0.0174837,1
e05r0200,236,2847,8,61,49,15,354,0.102669,0.0168387,1
e05r0200,236,2847,8,61,40,15,354,0.102669,0.0176847,1
e05r0200,236,2847,8,61,48,15,354,0.102669,0.018085,1
e05r0200,236,2847,8,61,45,15,354,0.102669,0.0178452,1
e05r0200,236,2847,8,61,40,15,354,0.102669,0.0175603,1
e05r0200,236,2847,8,61,44,15,354,0.102669,0.0179486,1
e05r0200,236,2847,8,61,40,15,354,0.102669,0.0176645,1
e05r0200,236,2847,8,61,49,15,354,0.102669,0.0173807,1
e05r0200,236,2847,8,61,44,15,354,0.102669,0.0169593,1
e05r0200,236,2847,8,61,44,15,354,0.102669,0.0169854,1
e05r0200,236,2847,8,61,40,15,354,0.102669,0.0171658,1
e05r0200,236,2847,8,61,58,15,354,0.102669,0.0170421,1
e05r0200,236,2847,8,61,42,15,354,0.102669,0.0170306,1
e05r0200,236,2847,8,61,44,15,354,0.102669,0.0171272,1
