graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fidap028,2603,37525,8,61,526,167,3904,0.0110808,1.36299,1
fidap028,2603,37525,8,61,491,167,3904,0.0110808,1.67757,1
fidap028,2603,37525,8,61,503,167,3904,0.0110808,1.38125,1
fidap028,2603,37525,8,61,507,167,3904,0.0110808,1.37078,1
fidap028,2603,37525,8,61,505,167,3904,0.0110808,1.39469,1
fidap028,2603,37525,8,61,505,167,3904,0.0110808,1.38729,1
fidap028,2603,37525,8,61,497,167,3904,0.0110808,1.35771,1
fidap028,2603,37525,8,61,503,167,3904,0.0110808,1.377,1
fidap028,2603,37525,8,61,490,167,3904,0.0110808,1.46701,1
fidap028,2603,37525,8,61,507,167,3904,0.0110808,1.50722,1
fidap028,2603,37525,8,61,520,167,3904,0.0110808,1.41119,1
fidap028,2603,37525,8,61,483,167,3904,0.0110808,1.38217,1
fidap028,2603,37525,8,61,487,167,3904,0.0110808,1.41602,1
fidap028,2603,37525,8,61,509,167,3904,0.0110808,1.40773,1
fidap028,2603,37525,8,61,467,167,3904,0.0110808,1.38762,1
