graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_760_1,760,3518,3,23,505,126,1140,0.0121975,0.0690681,1
fs_760_1,760,3518,3,23,495,126,1140,0.0121975,0.0660999,1
fs_760_1,760,3518,3,23,487,126,1140,0.0121975,0.0660713,1
fs_760_1,760,3518,3,23,506,126,1140,0.0121975,0.0656162,1
fs_760_1,760,3518,3,23,500,126,1140,0.0121975,0.0685981,1
fs_760_1,760,3518,3,23,504,126,1140,0.0121975,0.0710963,1
fs_760_1,760,3518,3,23,501,126,1140,0.0121975,0.0745874,1
fs_760_1,760,3518,3,23,498,126,1140,0.0121975,0.0720132,1
fs_760_1,760,3518,3,23,500,126,1140,0.0121975,0.0685056,1
fs_760_1,760,3518,3,23,501,126,1140,0.0121975,0.0667631,1
fs_760_1,760,3518,3,23,503,126,1140,0.0121975,0.0661327,1
fs_760_1,760,3518,3,23,501,126,1140,0.0121975,0.0666143,1
fs_760_1,760,3518,3,23,505,126,1140,0.0121975,0.0661881,1
fs_760_1,760,3518,3,23,503,126,1140,0.0121975,0.0685464,1
fs_760_1,760,3518,3,23,503,126,1140,0.0121975,0.0659176,1
