graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
gent113,113,549,0,26,106,16,183,0.0867573,0.00404877,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00332051,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00360737,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00335648,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00314467,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00320618,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00339211,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00319969,1
gent113,113,549,0,26,110,16,183,0.0867573,0.00311095,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00313272,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00316068,1
gent113,113,549,0,26,108,16,183,0.0867573,0.00328222,1
gent113,113,549,0,26,106,16,183,0.0867573,0.0031203,1
gent113,113,549,0,26,106,16,183,0.0867573,0.00339767,1
gent113,113,549,0,26,108,16,183,0.0867573,0.00312247,1
