graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
ibm32,32,90,3,11,28,10,48,0.181452,0.000412909,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000368195,1
ibm32,32,90,3,11,31,10,48,0.181452,0.000364301,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000349492,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000338981,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000373272,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00034319,1
ibm32,32,90,3,11,33,10,48,0.181452,0.000363138,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000334216,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000460715,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000341373,1
ibm32,32,90,3,11,29,10,48,0.181452,0.000363694,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000367955,1
ibm32,32,90,3,11,28,10,48,0.181452,0.000365796,1
ibm32,32,90,3,11,28,10,48,0.181452,0.00035026,1
