graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
lshp_265,265,744,3,6,213,151,397,0.0212693,0.0115369,1
lshp_265,265,744,3,6,211,151,397,0.0212693,0.0105802,1
lshp_265,265,744,3,6,218,151,397,0.0212693,0.01033,1
lshp_265,265,744,3,6,210,151,397,0.0212693,0.00995739,1
lshp_265,265,744,3,6,212,151,397,0.0212693,0.00994883,1
lshp_265,265,744,3,6,213,151,397,0.0212693,0.00999907,1
lshp_265,265,744,3,6,207,151,397,0.0212693,0.0108905,1
lshp_265,265,744,3,6,214,151,397,0.0212693,0.0122787,1
lshp_265,265,744,3,6,208,151,397,0.0212693,0.011226,1
lshp_265,265,744,3,6,211,151,397,0.0212693,0.0117707,1
lshp_265,265,744,3,6,214,151,397,0.0212693,0.00998476,1
lshp_265,265,744,3,6,207,151,397,0.0212693,0.00991463,1
lshp_265,265,744,3,6,213,151,397,0.0212693,0.00995289,1
lshp_265,265,744,3,6,217,151,397,0.0212693,0.00997974,1
lshp_265,265,744,3,6,216,151,397,0.0212693,0.0105012,1
