graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
nos7,729,1944,3,6,639,416,1093,0.00732601,0.0862624,1
nos7,729,1944,3,6,648,416,1093,0.00732601,0.0723989,1
nos7,729,1944,3,6,665,416,1093,0.00732601,0.0709352,1
nos7,729,1944,3,6,649,416,1093,0.00732601,0.0726221,1
nos7,729,1944,3,6,656,416,1093,0.00732601,0.069658,1
nos7,729,1944,3,6,639,416,1093,0.00732601,0.0696185,1
nos7,729,1944,3,6,682,416,1093,0.00732601,0.0738301,1
nos7,729,1944,3,6,639,416,1093,0.00732601,0.0709034,1
nos7,729,1944,3,6,657,416,1093,0.00732601,0.0702009,1
nos7,729,1944,3,6,659,416,1093,0.00732601,0.0675895,1
nos7,729,1944,3,6,643,416,1093,0.00732601,0.0691532,1
nos7,729,1944,3,6,646,416,1093,0.00732601,0.0745115,1
nos7,729,1944,3,6,654,416,1093,0.00732601,0.0691354,1
nos7,729,1944,3,6,654,416,1093,0.00732601,0.0736009,1
nos7,729,1944,3,6,651,416,1093,0.00732601,0.076616,1
