graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
olm100,100,197,2,5,72,66,150,0.039798,0.00184538,1
olm100,100,197,2,5,77,66,150,0.039798,0.0020959,1
olm100,100,197,2,5,72,66,150,0.039798,0.0019295,1
olm100,100,197,2,5,81,66,150,0.039798,0.00173012,1
olm100,100,197,2,5,72,66,150,0.039798,0.00186091,1
olm100,100,197,2,5,77,66,150,0.039798,0.00233117,1
olm100,100,197,2,5,74,66,150,0.039798,0.00197957,1
olm100,100,197,2,5,72,66,150,0.039798,0.00173689,1
olm100,100,197,2,5,81,66,150,0.039798,0.00197861,1
olm100,100,197,2,5,74,66,150,0.039798,0.00172196,1
olm100,100,197,2,5,82,66,150,0.039798,0.00174701,1
olm100,100,197,2,5,78,66,150,0.039798,0.00183105,1
olm100,100,197,2,5,77,66,150,0.039798,0.00185331,1
olm100,100,197,2,5,72,66,150,0.039798,0.00179758,1
olm100,100,197,2,5,80,66,150,0.039798,0.00183888,1
