graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rbs480b,480,16400,39,149,76,12,720,0.142658,0.220189,1
rbs480b,480,16400,39,149,88,12,720,0.142658,0.196776,1
rbs480b,480,16400,39,149,72,12,720,0.142658,0.186914,1
rbs480b,480,16400,39,149,72,12,720,0.142658,0.18271,1
rbs480b,480,16400,39,149,59,12,720,0.142658,0.183125,1
rbs480b,480,16400,39,149,78,12,720,0.142658,0.180599,1
rbs480b,480,16400,39,149,61,12,720,0.142658,0.181306,1
rbs480b,480,16400,39,149,81,12,720,0.142658,0.182849,1
rbs480b,480,16400,39,149,77,12,720,0.142658,0.177357,1
rbs480b,480,16400,39,149,83,12,720,0.142658,0.182133,1
rbs480b,480,16400,39,149,83,12,720,0.142658,0.178671,1
rbs480b,480,16400,39,149,83,12,720,0.142658,0.174624,1
rbs480b,480,16400,39,149,70,12,720,0.142658,0.180224,1
rbs480b,480,16400,39,149,77,12,720,0.142658,0.17789,1
rbs480b,480,16400,39,149,82,12,720,0.142658,0.179142,1
