graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
GD00_a,352,384,1,43,446,32,609,0.00621601,0.00986077,1
GD00_a,352,384,1,43,442,32,609,0.00621601,0.00971172,1
GD00_a,352,384,1,43,448,32,609,0.00621601,0.00991176,1
GD00_a,352,384,1,43,447,32,609,0.00621601,0.00996693,1
GD00_a,352,384,1,43,440,32,609,0.00621601,0.00983556,1
GD00_a,352,384,1,43,444,32,609,0.00621601,0.00994159,1
GD00_a,352,384,1,43,444,32,609,0.00621601,0.00987939,1
GD00_a,352,384,1,43,444,32,609,0.00621601,0.00983471,1
GD00_a,352,384,1,43,442,32,609,0.00621601,0.0098994,1
GD00_a,352,384,1,43,452,32,609,0.00621601,0.00992205,1
GD00_a,352,384,1,43,442,32,609,0.00621601,0.00973028,1
GD00_a,352,384,1,43,455,32,609,0.00621601,0.00981878,1
GD00_a,352,384,1,43,443,32,609,0.00621601,0.00976476,1
GD00_a,352,384,1,43,444,32,609,0.00621601,0.00986133,1
GD00_a,352,384,1,43,443,32,609,0.00621601,0.00993549,1
