graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
path10-order250,250,249,1,2,344,-1,437,0.008,0.00763846,1
path10-order250,250,249,1,2,343,-1,437,0.008,0.00696869,1
path10-order250,250,249,1,2,344,-1,437,0.008,0.00722397,1
path10-order250,250,249,1,2,340,-1,437,0.008,0.00677386,1
path10-order250,250,249,1,2,349,-1,437,0.008,0.00669737,1
path10-order250,250,249,1,2,345,-1,437,0.008,0.00741011,1
path10-order250,250,249,1,2,345,-1,437,0.008,0.00665659,1
path10-order250,250,249,1,2,346,-1,437,0.008,0.00825611,1
path10-order250,250,249,1,2,346,-1,437,0.008,0.00665668,1
path10-order250,250,249,1,2,344,-1,437,0.008,0.00722866,1
path10-order250,250,249,1,2,350,-1,437,0.008,0.0067241,1
path10-order250,250,249,1,2,346,-1,437,0.008,0.00678218,1
path10-order250,250,249,1,2,345,-1,437,0.008,0.00813234,1
path10-order250,250,249,1,2,345,-1,437,0.008,0.00666548,1
path10-order250,250,249,1,2,338,-1,437,0.008,0.00695301,1
