graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_2_5,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00323371,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00318387,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00327711,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00338558,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.0033011,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00336736,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00316287,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00314858,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00313463,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00326971,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00325931,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00317078,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00324843,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00313823,1
star7-order175,175,174,1,174,4,4,306,0.0114286,0.00307632,1
