graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bfwa62,62,200,2,20,68,11,93,0.105764,0.00510384,1
bfwa62,62,200,2,20,63,11,93,0.105764,0.00754468,1
bfwa62,62,200,2,20,63,11,93,0.105764,0.00935357,1
bfwa62,62,200,2,20,62,11,93,0.105764,0.00857668,1
bfwa62,62,200,2,20,65,11,93,0.105764,0.00566279,1
bfwa62,62,200,2,20,64,11,93,0.105764,0.00686542,1
bfwa62,62,200,2,20,61,11,93,0.105764,0.00581365,1
bfwa62,62,200,2,20,64,11,93,0.105764,0.00823951,1
bfwa62,62,200,2,20,65,11,93,0.105764,0.00652762,1
bfwa62,62,200,2,20,61,11,93,0.105764,0.00672159,1
bfwa62,62,200,2,20,64,11,93,0.105764,0.00636246,1
bfwa62,62,200,2,20,64,11,93,0.105764,0.00594652,1
bfwa62,62,200,2,20,66,11,93,0.105764,0.00495347,1
bfwa62,62,200,2,20,65,11,93,0.105764,0.00921022,1
bfwa62,62,200,2,20,64,11,93,0.105764,0.00886302,1
