graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dw2048,2048,4094,2,8,2621,910,3072,0.00195312,16.3755,1
dw2048,2048,4094,2,8,2634,910,3072,0.00195312,13.4115,1
dw2048,2048,4094,2,8,2659,910,3072,0.00195312,13.4298,1
dw2048,2048,4094,2,8,2611,910,3072,0.00195312,16.13,1
dw2048,2048,4094,2,8,2663,910,3072,0.00195312,16.1285,1
dw2048,2048,4094,2,8,2641,910,3072,0.00195312,21.6277,1
dw2048,2048,4094,2,8,2650,910,3072,0.00195312,15.0042,1
dw2048,2048,4094,2,8,2669,910,3072,0.00195312,15.4078,1
dw2048,2048,4094,2,8,2657,910,3072,0.00195312,19.3053,1
dw2048,2048,4094,2,8,2628,910,3072,0.00195312,22.1843,1
dw2048,2048,4094,2,8,2649,910,3072,0.00195312,18.6336,1
dw2048,2048,4094,2,8,2659,910,3072,0.00195312,20.3579,1
dw2048,2048,4094,2,8,2667,910,3072,0.00195312,17.7245,1
dw2048,2048,4094,2,8,2633,910,3072,0.00195312,18.799,1
dw2048,2048,4094,2,8,2660,910,3072,0.00195312,15.0991,1
