graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
mhd1280a,1280,26130,0,65,1040,77,1941,0.0319219,7.06001,1
mhd1280a,1280,26130,0,65,1039,77,1941,0.0319219,9.55267,1
mhd1280a,1280,26130,0,65,1020,77,1941,0.0319219,7.50714,1
mhd1280a,1280,26130,0,65,1090,77,1941,0.0319219,6.55512,1
mhd1280a,1280,26130,0,65,1088,77,1941,0.0319219,5.45684,1
mhd1280a,1280,26130,0,65,1080,77,1941,0.0319219,5.73809,1
mhd1280a,1280,26130,0,65,1010,77,1941,0.0319219,6.83775,1
mhd1280a,1280,26130,0,65,1016,77,1941,0.0319219,7.61387,1
mhd1280a,1280,26130,0,65,958,77,1941,0.0319219,7.21422,1
mhd1280a,1280,26130,0,65,1028,77,1941,0.0319219,8.74961,1
mhd1280a,1280,26130,0,65,1076,77,1941,0.0319219,7.17596,1
mhd1280a,1280,26130,0,65,1054,77,1941,0.0319219,8.837,1
mhd1280a,1280,26130,0,65,1051,77,1941,0.0319219,10.5975,1
mhd1280a,1280,26130,0,65,1076,77,1941,0.0319219,7.28114,1
mhd1280a,1280,26130,0,65,1060,77,1941,0.0319219,5.54327,1
