graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rbsa480,480,16408,38,151,240,12,720,0.142728,1.56146,1
rbsa480,480,16408,38,151,204,12,720,0.142728,1.67561,1
rbsa480,480,16408,38,151,225,12,720,0.142728,2.21891,1
rbsa480,480,16408,38,151,235,12,720,0.142728,1.26388,1
rbsa480,480,16408,38,151,263,12,720,0.142728,2.01322,1
rbsa480,480,16408,38,151,231,12,720,0.142728,2.57875,1
rbsa480,480,16408,38,151,209,12,720,0.142728,1.90611,1
rbsa480,480,16408,38,151,228,12,720,0.142728,1.82132,1
rbsa480,480,16408,38,151,248,12,720,0.142728,2.43561,1
rbsa480,480,16408,38,151,237,12,720,0.142728,1.51494,1
rbsa480,480,16408,38,151,181,12,720,0.142728,1.54357,1
rbsa480,480,16408,38,151,198,12,720,0.142728,2.67549,1
rbsa480,480,16408,38,151,224,12,720,0.142728,1.83191,1
rbsa480,480,16408,38,151,256,12,720,0.142728,1.44253,1
rbsa480,480,16408,38,151,187,12,720,0.142728,1.31726,1
