graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
pde2961,2961,5812,2,4,3614,2368,4441,0.00132625,66.292,1
pde2961,2961,5812,2,4,3586,2368,4441,0.00132625,69.3499,1
pde2961,2961,5812,2,4,3571,2368,4441,0.00132625,51.5846,1
pde2961,2961,5812,2,4,3594,2368,4441,0.00132625,69.5575,1
pde2961,2961,5812,2,4,3632,2368,4441,0.00132625,68.1955,1
pde2961,2961,5812,2,4,3638,2368,4441,0.00132625,68.1742,1
pde2961,2961,5812,2,4,3616,2368,4441,0.00132625,68.5288,1
pde2961,2961,5812,2,4,3589,2368,4441,0.00132625,69.0036,1
pde2961,2961,5812,2,4,3574,2368,4441,0.00132625,68.4836,1
pde2961,2961,5812,2,4,3569,2368,4441,0.00132625,61.0601,1
pde2961,2961,5812,2,4,3594,2368,4441,0.00132625,69.298,1
pde2961,2961,5812,2,4,3605,2368,4441,0.00132625,68.2269,1
pde2961,2961,5812,2,4,3578,2368,4441,0.00132625,69.093,1
pde2961,2961,5812,2,4,3616,2368,4441,0.00132625,67.4519,1
pde2961,2961,5812,2,4,3570,2368,4441,0.00132625,69.9835,1
