graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
qh882,882,1533,1,16,1230,207,1543,0.00394573,2.77968,1
qh882,882,1533,1,16,1231,207,1543,0.00394573,2.81924,1
qh882,882,1533,1,16,1223,207,1543,0.00394573,1.57839,1
qh882,882,1533,1,16,1229,207,1543,0.00394573,2.04188,1
qh882,882,1533,1,16,1239,207,1543,0.00394573,3.08202,1
qh882,882,1533,1,16,1229,207,1543,0.00394573,3.57538,1
qh882,882,1533,1,16,1230,207,1543,0.00394573,2.92603,1
qh882,882,1533,1,16,1210,207,1543,0.00394573,2.89654,1
qh882,882,1533,1,16,1216,207,1543,0.00394573,3.6832,1
qh882,882,1533,1,16,1210,207,1543,0.00394573,3.03177,1
qh882,882,1533,1,16,1232,207,1543,0.00394573,1.81646,1
qh882,882,1533,1,16,1225,207,1543,0.00394573,3.69428,1
qh882,882,1533,1,16,1232,207,1543,0.00394573,2.44802,1
qh882,882,1533,1,16,1217,207,1543,0.00394573,3.61272,1
qh882,882,1533,1,16,1227,207,1543,0.00394573,2.56717,1
