graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_3,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rdb1250,1250,3025,3,5,1676,833,1875,0.0038751,8.65954,1
rdb1250,1250,3025,3,5,1677,833,1875,0.0038751,8.6628,1
rdb1250,1250,3025,3,5,1678,833,1875,0.0038751,8.71662,1
rdb1250,1250,3025,3,5,1690,833,1875,0.0038751,4.81375,1
rdb1250,1250,3025,3,5,1678,833,1875,0.0038751,8.6573,1
rdb1250,1250,3025,3,5,1681,833,1875,0.0038751,7.5356,1
rdb1250,1250,3025,3,5,1679,833,1875,0.0038751,8.59231,1
rdb1250,1250,3025,3,5,1680,833,1875,0.0038751,8.64074,1
rdb1250,1250,3025,3,5,1680,833,1875,0.0038751,8.71774,1
rdb1250,1250,3025,3,5,1680,833,1875,0.0038751,8.67655,1
rdb1250,1250,3025,3,5,1676,833,1875,0.0038751,8.78115,1
rdb1250,1250,3025,3,5,1676,833,1875,0.0038751,8.74081,1
rdb1250,1250,3025,3,5,1676,833,1875,0.0038751,8.69625,1
rdb1250,1250,3025,3,5,1683,833,1875,0.0038751,6.69851,1
rdb1250,1250,3025,3,5,1676,833,1875,0.0038751,8.73603,1
