graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dw256A,512,1004,2,7,611,256,768,0.0076749,1.15389,1
dw256A,512,1004,2,7,615,256,768,0.0076749,0.699831,1
dw256A,512,1004,2,7,607,256,768,0.0076749,0.681223,1
dw256A,512,1004,2,7,639,256,768,0.0076749,0.431381,1
dw256A,512,1004,2,7,625,256,768,0.0076749,0.783992,1
dw256A,512,1004,2,7,627,256,768,0.0076749,0.636025,1
dw256A,512,1004,2,7,631,256,768,0.0076749,0.549101,1
dw256A,512,1004,2,7,633,256,768,0.0076749,0.424942,1
dw256A,512,1004,2,7,625,256,768,0.0076749,0.535915,1
dw256A,512,1004,2,7,606,256,768,0.0076749,0.985327,1
dw256A,512,1004,2,7,616,256,768,0.0076749,0.440846,1
dw256A,512,1004,2,7,611,256,768,0.0076749,1.0988,1
dw256A,512,1004,2,7,612,256,768,0.0076749,0.455894,1
dw256A,512,1004,2,7,644,256,768,0.0076749,0.444357,1
dw256A,512,1004,2,7,615,256,768,0.0076749,0.843142,1
