graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
qh768,768,1322,1,13,989,219,1344,0.00448854,2.9659,1
qh768,768,1322,1,13,996,219,1344,0.00448854,1.6244,1
qh768,768,1322,1,13,998,219,1344,0.00448854,1.61781,1
qh768,768,1322,1,13,991,219,1344,0.00448854,2.84385,1
qh768,768,1322,1,13,992,219,1344,0.00448854,2.83735,1
qh768,768,1322,1,13,989,219,1344,0.00448854,2.83776,1
qh768,768,1322,1,13,1000,219,1344,0.00448854,1.79344,1
qh768,768,1322,1,13,992,219,1344,0.00448854,2.51564,1
qh768,768,1322,1,13,993,219,1344,0.00448854,2.8284,1
qh768,768,1322,1,13,992,219,1344,0.00448854,2.828,1
qh768,768,1322,1,13,992,219,1344,0.00448854,2.71384,1
qh768,768,1322,1,13,993,219,1344,0.00448854,2.44363,1
qh768,768,1322,1,13,1003,219,1344,0.00448854,1.01407,1
qh768,768,1322,1,13,986,219,1344,0.00448854,2.87645,1
qh768,768,1322,1,13,989,219,1344,0.00448854,2.8518,1
