graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
rw136,136,373,2,7,107,68,204,0.0406318,0.0205416,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0207879,1
rw136,136,373,2,7,112,68,204,0.0406318,0.0191613,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0192297,1
rw136,136,373,2,7,114,68,204,0.0406318,0.019348,1
rw136,136,373,2,7,111,68,204,0.0406318,0.0212033,1
rw136,136,373,2,7,114,68,204,0.0406318,0.017844,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0187957,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0192782,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0212234,1
rw136,136,373,2,7,105,68,204,0.0406318,0.0250971,1
rw136,136,373,2,7,114,68,204,0.0406318,0.0250517,1
rw136,136,373,2,7,112,68,204,0.0406318,0.0217877,1
rw136,136,373,2,7,111,68,204,0.0406318,0.0175475,1
rw136,136,373,2,7,112,68,204,0.0406318,0.0229306,1
