graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_4,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
tols340,340,1649,1,89,204,15,535,0.0286136,0.147542,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.142987,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.144897,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.143941,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.14482,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.141309,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.144443,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.146632,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.171072,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.143414,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.140687,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.144236,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.14277,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.140416,1
tols340,340,1649,1,89,204,15,535,0.0286136,0.145257,1
