graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_2,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
cycle7-order175,175,175,2,2,263,-1,262,0.0114943,0.177251,1
cycle7-order175,175,175,2,2,264,-1,262,0.0114943,0.103185,1
cycle7-order175,175,175,2,2,263,-1,262,0.0114943,0.138072,1
cycle7-order175,175,175,2,2,262,-1,262,0.0114943,0.0818129,1
cycle7-order175,175,175,2,2,262,-1,262,0.0114943,0.136279,1
cycle7-order175,175,175,2,2,258,-1,262,0.0114943,0.227043,1
cycle7-order175,175,175,2,2,261,-1,262,0.0114943,0.155895,1
cycle7-order175,175,175,2,2,264,-1,262,0.0114943,0.15433,1
cycle7-order175,175,175,2,2,265,-1,262,0.0114943,0.125561,1
cycle7-order175,175,175,2,2,258,-1,262,0.0114943,0.26254,1
cycle7-order175,175,175,2,2,263,-1,262,0.0114943,0.190588,1
cycle7-order175,175,175,2,2,263,-1,262,0.0114943,0.0643371,1
cycle7-order175,175,175,2,2,256,-1,262,0.0114943,0.204224,1
cycle7-order175,175,175,2,2,263,-1,262,0.0114943,0.145516,1
cycle7-order175,175,175,2,2,261,-1,262,0.0114943,0.212575,1
