graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
bcsstk01,48,176,4,11,40,16,72,0.156028,0.00389607,1
bcsstk01,48,176,4,11,40,16,72,0.156028,0.00466035,1
bcsstk01,48,176,4,11,37,16,72,0.156028,0.00414186,1
bcsstk01,48,176,4,11,41,16,72,0.156028,0.00417449,1
bcsstk01,48,176,4,11,39,16,72,0.156028,0.00366985,1
bcsstk01,48,176,4,11,40,16,72,0.156028,0.00414759,1
bcsstk01,48,176,4,11,41,16,72,0.156028,0.00374383,1
bcsstk01,48,176,4,11,39,16,72,0.156028,0.0039459,1
bcsstk01,48,176,4,11,39,16,72,0.156028,0.00465047,1
bcsstk01,48,176,4,11,36,16,72,0.156028,0.0059135,1
bcsstk01,48,176,4,11,37,16,72,0.156028,0.0064277,1
bcsstk01,48,176,4,11,39,16,72,0.156028,0.00347095,1
bcsstk01,48,176,4,11,42,16,72,0.156028,0.00421645,1
bcsstk01,48,176,4,11,40,16,72,0.156028,0.00695513,1
bcsstk01,48,176,4,11,39,16,72,0.156028,0.00395073,1
