graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
ck656,656,1628,1,9,714,262,1148,0.00757773,2.7416,1
ck656,656,1628,1,9,714,262,1148,0.00757773,1.91454,1
ck656,656,1628,1,9,719,262,1148,0.00757773,1.98105,1
ck656,656,1628,1,9,718,262,1148,0.00757773,2.09016,1
ck656,656,1628,1,9,710,262,1148,0.00757773,2.63005,1
ck656,656,1628,1,9,706,262,1148,0.00757773,2.41107,1
ck656,656,1628,1,9,714,262,1148,0.00757773,2.44528,1
ck656,656,1628,1,9,710,262,1148,0.00757773,2.40777,1
ck656,656,1628,1,9,714,262,1148,0.00757773,2.31496,1
ck656,656,1628,1,9,710,262,1148,0.00757773,2.6768,1
ck656,656,1628,1,9,708,262,1148,0.00757773,2.59484,1
ck656,656,1628,1,9,709,262,1148,0.00757773,2.69921,1
ck656,656,1628,1,9,715,262,1148,0.00757773,2.59486,1
ck656,656,1628,1,9,705,262,1148,0.00757773,2.76139,1
ck656,656,1628,1,9,711,262,1148,0.00757773,2.68598,1
