graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
dwt___72,72,75,1,4,117,57,126,0.0293427,0.00726806,1
dwt___72,72,75,1,4,117,57,126,0.0293427,0.00594887,1
dwt___72,72,75,1,4,116,57,126,0.0293427,0.00587275,1
dwt___72,72,75,1,4,122,57,126,0.0293427,0.00569132,1
dwt___72,72,75,1,4,119,57,126,0.0293427,0.0072804,1
dwt___72,72,75,1,4,117,57,126,0.0293427,0.00770531,1
dwt___72,72,75,1,4,118,57,126,0.0293427,0.00926924,1
dwt___72,72,75,1,4,122,57,126,0.0293427,0.00479253,1
dwt___72,72,75,1,4,122,57,126,0.0293427,0.00576082,1
dwt___72,72,75,1,4,115,57,126,0.0293427,0.00649953,1
dwt___72,72,75,1,4,122,57,126,0.0293427,0.00596332,1
dwt___72,72,75,1,4,121,57,126,0.0293427,0.00496796,1
dwt___72,72,75,1,4,116,57,126,0.0293427,0.00811847,1
dwt___72,72,75,1,4,119,57,126,0.0293427,0.0110236,1
dwt___72,72,75,1,4,119,57,126,0.0293427,0.00651965,1
