graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fidap003,1821,25419,7,61,980,117,2731,0.0153394,26.968,1
fidap003,1821,25419,7,61,994,117,2731,0.0153394,23.5709,1
fidap003,1821,25419,7,61,987,117,2731,0.0153394,26.8139,1
fidap003,1821,25419,7,61,978,117,2731,0.0153394,28.0759,1
fidap003,1821,25419,7,61,991,117,2731,0.0153394,28.2277,1
fidap003,1821,25419,7,61,969,117,2731,0.0153394,26.7697,1
fidap003,1821,25419,7,61,992,117,2731,0.0153394,24.8814,1
fidap003,1821,25419,7,61,997,117,2731,0.0153394,24.1395,1
fidap003,1821,25419,7,61,982,117,2731,0.0153394,31.777,1
fidap003,1821,25419,7,61,992,117,2731,0.0153394,26.7621,1
fidap003,1821,25419,7,61,997,117,2731,0.0153394,26.8468,1
fidap003,1821,25419,7,61,995,117,2731,0.0153394,24.6847,1
fidap003,1821,25419,7,61,975,117,2731,0.0153394,27.8521,1
fidap003,1821,25419,7,61,979,117,2731,0.0153394,26.5104,1
fidap003,1821,25419,7,61,972,117,2731,0.0153394,27.256,1
