graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
fs_541_4,541,2466,5,540,496,4,811,0.0168823,1.086,1
fs_541_4,541,2466,5,540,498,4,811,0.0168823,1.02699,1
fs_541_4,541,2466,5,540,494,4,811,0.0168823,1.11734,1
fs_541_4,541,2466,5,540,516,4,811,0.0168823,0.652166,1
fs_541_4,541,2466,5,540,488,4,811,0.0168823,0.746235,1
fs_541_4,541,2466,5,540,486,4,811,0.0168823,0.859182,1
fs_541_4,541,2466,5,540,496,4,811,0.0168823,0.711034,1
fs_541_4,541,2466,5,540,530,4,811,0.0168823,0.515951,1
fs_541_4,541,2466,5,540,508,4,811,0.0168823,1.18249,1
fs_541_4,541,2466,5,540,504,4,811,0.0168823,0.693707,1
fs_541_4,541,2466,5,540,495,4,811,0.0168823,1.07561,1
fs_541_4,541,2466,5,540,490,4,811,0.0168823,0.638872,1
fs_541_4,541,2466,5,540,487,4,811,0.0168823,0.952499,1
fs_541_4,541,2466,5,540,492,4,811,0.0168823,1.25097,1
fs_541_4,541,2466,5,540,502,4,811,0.0168823,0.523836,1
