graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds),is_feasible
mcca,180,1680,3,63,208,11,270,0.104283,0.0941815,1
mcca,180,1680,3,63,191,11,270,0.104283,0.0911132,1
mcca,180,1680,3,63,196,11,270,0.104283,0.0772077,1
mcca,180,1680,3,63,182,11,270,0.104283,0.0968182,1
mcca,180,1680,3,63,201,11,270,0.104283,0.127359,1
mcca,180,1680,3,63,194,11,270,0.104283,0.0827357,1
mcca,180,1680,3,63,190,11,270,0.104283,0.134775,1
mcca,180,1680,3,63,194,11,270,0.104283,0.082446,1
mcca,180,1680,3,63,208,11,270,0.104283,0.0837087,1
mcca,180,1680,3,63,174,11,270,0.104283,0.118992,1
mcca,180,1680,3,63,204,11,270,0.104283,0.119462,1
mcca,180,1680,3,63,208,11,270,0.104283,0.107774,1
mcca,180,1680,3,63,196,11,270,0.104283,0.0883716,1
mcca,180,1680,3,63,193,11,270,0.104283,0.116641,1
mcca,180,1680,3,63,188,11,270,0.104283,0.107613,1
